video_id,filename,creation_time,duration_s,fps,width,height,frames,frame_count_source,file_size_bytes
"GX010123","GX010123.MP4","2022-04-04T17:30:52.000000Z",75.275000,200.000000,1920,1080,15049,"ffprobe_nb_frames",567625111
"GX010124","GX010124.MP4","2022-04-04T17:35:40.000000Z",76.875000,200.000000,1920,1080,15361,"ffprobe_nb_frames",579425879
"GX010125","GX010125.MP4","2022-04-04T17:41:33.000000Z",74.255000,200.000000,1920,1080,14836,"ffprobe_nb_frames",559787448
"GX010126","GX010126.MP4","2022-04-04T17:47:17.000000Z",75.985000,200.000000,1920,1080,15190,"ffprobe_nb_frames",573075223
"GX010127","GX010127.MP4","2022-04-04T17:52:14.000000Z",380.595000,200.000000,1920,1080,76105,"ffprobe_nb_frames",2869876494
"GX010128","GX010128.MP4","2022-04-04T18:02:34.000000Z",75.515000,200.000000,1920,1080,15087,"ffprobe_nb_frames",569200659
"GX010129","GX010129.MP4","2022-04-04T18:10:23.000000Z",531.008000,200.000000,1920,1080,106200,"ffprobe_nb_frames",4004586872
"GX010130","GX010130.MP4","2022-04-04T22:44:47.000000Z",401.745000,200.000000,1920,1080,80333,"ffprobe_nb_frames",3028831224
"GX010131","GX010131.MP4","2022-04-04T22:55:10.000000Z",369.710000,200.000000,1920,1080,73929,"ffprobe_nb_frames",2787501054
"GX010132","GX010132.MP4","2022-04-04T23:05:05.000000Z",70.390000,200.000000,1920,1080,14063,"ffprobe_nb_frames",530368774
"GX010133","GX010133.MP4","2022-04-04T23:09:56.000000Z",74.920000,200.000000,1920,1080,14968,"ffprobe_nb_frames",564615299
"GX010134","GX010134.MP4","2022-04-04T23:15:00.000000Z",79.960000,200.000000,1920,1080,15979,"ffprobe_nb_frames",602719332
"GX010135","GX010135.MP4","2022-04-04T23:19:56.000000Z",76.125000,200.000000,1920,1080,15211,"ffprobe_nb_frames",573820305
"GX010136","GX010136.MP4","2022-04-06T14:49:25.000000Z",74.930000,200.000000,1920,1080,14972,"ffprobe_nb_frames",564781170
"GX010137","GX010137.MP4","2022-04-06T14:54:46.000000Z",74.770000,200.000000,1920,1080,14938,"ffprobe_nb_frames",563525383
"GX010138","GX010138.MP4","2022-04-06T15:00:06.000000Z",74.960000,200.000000,1920,1080,14977,"ffprobe_nb_frames",565040107
"GX010139","GX010139.MP4","2022-04-06T15:05:22.000000Z",75.155000,200.000000,1920,1080,15015,"ffprobe_nb_frames",566586981
"GX010140","GX010140.MP4","2022-04-06T15:10:34.000000Z",75.465000,200.000000,1920,1080,15087,"ffprobe_nb_frames",569173299
"GX010141","GX010141.MP4","2022-04-06T15:15:35.000000Z",74.855000,200.000000,1920,1080,14955,"ffprobe_nb_frames",564224166
"GX010142","GX010142.MP4","2022-04-06T15:21:36.000000Z",75.090000,200.000000,1920,1080,15002,"ffprobe_nb_frames",566037160
"GX010143","GX010143.MP4","2022-04-06T15:26:17.000000Z",75.375000,200.000000,1920,1080,15062,"ffprobe_nb_frames",568208321
"GX010144","GX010144.MP4","2022-04-06T15:31:29.000000Z",406.195000,200.000000,1920,1080,81234,"ffprobe_nb_frames",3063219644
"GX010145","GX010145.MP4","2022-04-06T15:49:51.000000Z",75.535000,200.000000,1920,1080,15092,"ffprobe_nb_frames",569533742
"GX010146","GX010146.MP4","2022-04-06T20:30:17.000000Z",66.575000,200.000000,1920,1080,13300,"ffprobe_nb_frames",501479779
